Gene,Sum,Mean,Variance
WASH7P,0.0328868647027775,2.6665746130525823e-06,5.050720421989012e-10
AL627309.6,0.019917605632385704,1.6149846454541235e-06,2.7868114870416017e-10
AL627309.5,0.026787356773281937,2.1720065493620317e-06,3.660200624816534e-10
AP006222.1,0.03091212596672234,2.506456333959486e-06,4.045039382029342e-10
AL732372.2,0.03278081354392236,2.657975638037976e-06,4.4323806752919357e-10
AL669831.3,0.18294538076236222,1.483381016479058e-05,3.021845436837885e-09
MTATP6P1,0.344266468181106,2.791425185932912e-05,1.4301353287721435e-08
AL669831.1,0.05087869307123136,4.125410935800808e-06,7.50189168488732e-10
LINC01409,0.2312767494575348,1.8752675704008333e-05,5.1415310367227975e-09
LINC01128,0.1466599002964124,1.1891664663618942e-05,2.7845709062819135e-09
NOC2L,0.2673569211910916,2.1678174101280435e-05,4.302700857986107e-09
KLHL17,0.0579958851845269,4.7024961635066e-06,1.180754324580829e-09
HES4,0.0944086520244051,7.654962460423667e-06,2.2521700230095235e-09
ISG15,0.6803368537979091,5.5163938522493235e-05,3.2086648865629465e-08
AGRN,0.19171109665391123,1.554456309526565e-05,3.6112846404372902e-09
C1orf159,0.42557079974545875,3.450667313268943e-05,6.9340806253807735e-09
AL390719.3,0.040212657988578315,3.260573906476795e-06,5.660088050515433e-10
LINC01342,0.03359851971799112,2.7242779305919986e-06,5.107374271147826e-10
TNFRSF18,0.03582184559657334,2.9045524687078032e-06,3.562820711284217e-09
SDF4,0.5400603702002639,4.3789862174674763e-05,1.0729167011354324e-08
B3GALT6,0.11736625085380052,9.516439702732549e-06,2.6013281858936605e-09
UBE2J2,0.4568134856622351,3.7039932349163635e-05,7.883787371750041e-09
LINC01786,0.09909744837215634,8.035145412483283e-06,1.471879048725298e-09
SCNN1D,0.15520712007533874,1.2584701214249472e-05,2.718225421140677e-09
ACAP3,1.174725410409057,9.525058058939893e-05,2.536587743163787e-08
PUSL1,0.03413858440578328,2.768068142851154e-06,7.369598250431659e-10
INTS11,0.5448387587844015,4.417730955845305e-05,9.643720218791178e-09
CPTP,0.06499545909120687,5.270044522111965e-06,1.0148715389710356e-09
DVL1,0.1974576520625273,1.6010512613518796e-05,4.1104820388881485e-09
MXRA8,0.10504201982379788,8.517150719516572e-06,1.7966380375955072e-09
AURKAIP1,0.5109985621825259,4.143343567522305e-05,1.1142319211933702e-08
CCNL2,2.1140693840616587,0.00017141566399591816,4.5374341735213646e-08
MRPL20-AS1,0.0543350047140696,4.405659994654148e-06,1.0297430206778917e-09
MRPL20,0.5428822515634486,4.401866955026746e-05,9.5933163982746e-09
MRPL20-DT,0.03639690705758149,2.9511803338669818e-06,9.808515735207257e-10
ANKRD65,0.04880238498128719,3.957057081106559e-06,9.74030390338559e-10
VWA1,0.272719939859313,2.211302520549039e-05,6.519407618752632e-09
ATAD3C,0.038434533495712964,3.116397753645744e-06,9.074997420107334e-10
ATAD3B,0.2979869705150811,2.416175873794544e-05,4.816995642388793e-09
AL645728.2,0.016673482780021398,1.3519405481246573e-06,2.01887600647514e-10
ATAD3A,0.25612069566262974,2.0767104164650104e-05,4.148524245115867e-09
TMEM240,0.06980538546073103,5.6600490927374555e-06,1.1654754683125442e-09
SSU72,0.49742611569336503,4.0332937297767374e-05,1.1024715185713292e-08
AL645728.1,0.01693995281577538,1.3735468106523456e-06,2.694634483565019e-10
FNDC10,0.01632904770300038,1.3240126249088121e-06,2.9357348712636404e-10
AL691432.2,0.05725156195538793,4.642144000274704e-06,9.374160828490737e-10
MIB2,0.3558538112329908,2.8853791553798005e-05,6.905818562129504e-09
CDK11B,0.38658036993937606,3.1345201487016625e-05,7.839339789578355e-09
SLC35E2B,0.7060063479131952,5.724530510931608e-05,1.334945169464203e-08
AL691432.1,0.15686833534182582,1.2719397984417889e-05,3.0235064322881686e-09
CDK11A,0.17801214991304543,1.4433807663427019e-05,3.325321739782806e-09
AL031282.2,0.04083951116362103,3.3114012132993616e-06,5.645334657028466e-10
AL031282.1,0.07048599474450074,5.715235120773594e-06,1.2319520566478753e-09
SLC35E2A,0.08247824589640775,6.687606089062495e-06,1.4971909099553591e-09
NADK,0.3460952712871926,2.8062537199966965e-05,6.760654331285691e-09
GNB1,3.001701137158201,0.00024338775133043064,7.382375808691598e-08
CFAP74,0.039635239507917655,3.213754926450795e-06,1.1774225291512793e-09
GABRD,0.031734433261296255,2.573131700421329e-06,7.431730235854273e-10
PRKCZ,0.2598092562533718,2.1066184728239017e-05,5.936310105063539e-09
FAAP20,0.22655957479604977,1.837019174540256e-05,4.954577583173567e-09
SKI,1.1917418960410924,9.663033293124887e-05,2.4755428144534413e-08
MORN1,0.11916328723764555,9.66214929357379e-06,1.7514441488064745e-09
RER1,0.45391689570250815,3.680506735607785e-05,9.027798744373563e-09
PEX10,0.12605491612940764,1.0220945117117298e-05,2.25381606047898e-09
PLCH2,0.12071588035312954,9.788038624270618e-06,2.4780040942341934e-09
PANK4,0.0585566280329175,4.747963028696789e-06,8.582559477429795e-10
AL139246.5,0.017358741683522985,1.4075035825446351e-06,3.851311190109599e-10
TNFRSF14,0.1295738967329442,1.050627558038954e-05,3.1572728653252863e-09
PRXL2B,0.05567150009149206,4.514027413564588e-06,8.454938079209544e-10
TTC34,0.02570290830270345,2.0840759184872656e-06,3.8404398612310367e-10
PRDM16,0.060963859362712605,4.943149222631363e-06,1.2185747637045993e-09
MEGF6,0.02161268295872379,1.7524270622495571e-06,5.626090040201735e-10
TPRG1L,0.08727626564236377,7.076645231684405e-06,2.1975733592976285e-09
WRAP73,0.16357835331487577,1.3263468200346694e-05,2.5780544722449753e-09
TP73-AS1,0.14587782074537076,1.1828251094248825e-05,2.5457529069627e-09
LRRC47,0.24717192302307206,2.0041508393989464e-05,5.417539694407688e-09
CEP104,0.5985661868786252,4.853370525246292e-05,1.1887360403156066e-08
DFFB,0.1470673255464769,1.1924700036201808e-05,3.052223352469566e-09
C1orf174,0.08038545256468885,6.517915557016853e-06,1.558300881178219e-09
AJAP1,0.16134410117804787,1.308230772545592e-05,3.045947661802923e-09
AL365255.1,0.04406866742768284,3.573231770670789e-06,1.4032155380160082e-09
NPHP4,0.3330470649504597,2.7004545929656995e-05,6.5196396000970456e-09
KCNAB2,0.3132285270614006,2.5397594021033047e-05,9.636243368038897e-09
CHD5,0.11530820765267889,9.349566824996262e-06,2.704739962285901e-09
RPL22,0.46580831027549835,3.776926216455837e-05,1.138805066688305e-08
RNF207,0.03480478882648792,2.822086177449763e-06,3.8557235043751823e-10
ICMT,0.15707221602117233,1.2735929297103083e-05,2.6739689944413278e-09
GPR153,0.02771843173203812,2.2475011539802254e-06,3.8251952951408233e-10
ACOT7,0.36945430756183206,2.9956564304048655e-05,6.652946933465488e-09
TNFRSF25,0.11745128245247857,9.523334343021048e-06,2.583857657087823e-09
PLEKHG5,0.08177681710868953,6.630731947513949e-06,1.4337393589139333e-09
NOL9,0.44631378521582477,3.618858227647975e-05,7.914172862198924e-09
TAS1R1,0.02467084353441194,2.0003927296206877e-06,5.521496011357724e-10
ZBTB48,0.17567064445450994,1.424395073822346e-05,3.0440138084661966e-09
KLHL21,0.31181744306184156,2.5283178712546953e-05,5.315813751967795e-09
PHF13,0.10198561563355854,8.269327465625439e-06,1.5500636148907598e-09
THAP3,0.10676122081430678,8.65654916194817e-06,2.0209026146115887e-09
