Gene,Sum,Mean,Variance
WASH7P,0.03287849759022514,2.7541043382664718e-06,1.1290469217000095e-09
MIR1302-2HG,5.471956224350205e-05,4.583645689688562e-09,2.5079407581126437e-13
AL627309.1,0.012169856364763854,1.0194217092279993e-06,4.2858617355421194e-10
AL627309.3,0.00042206991407745475,3.535516117251254e-08,7.505229652111299e-12
CICP27,0.007079355397572082,5.930101690041952e-07,2.1458958891391321e-10
AL627309.6,0.04799264382522375,4.020157800739131e-06,2.5883971589615095e-09
AL627309.7,2.59814492452389e-05,2.176365324613746e-09,5.654038865452375e-14
AL627309.5,0.07426353156737373,6.220768266658881e-06,2.4714686929456453e-09
WASH9P,0.014837797321590521,1.2429047848542905e-06,5.726917788725351e-10
AP006222.1,0.10144693789867562,8.497816878763246e-06,2.708608781463356e-09
AP006222.2,6.671559143371805e-05,5.588506570088629e-09,3.728092896489982e-13
AL732372.2,0.04781111613446523,4.004951929507893e-06,1.7679303919003641e-09
AL732372.3,0.0004945248735782829,4.1424432365411535e-08,1.0918938942662321e-11
AL669831.3,0.26670200675580535,2.2340593630072487e-05,8.40963644876813e-09
AC114498.1,5.6589893045102146e-05,4.740316053367578e-09,2.6823150786376614e-13
MTND1P23,0.013865032700039373,1.1614200619902307e-06,4.929091195535756e-10
MTND2P28,0.027543294584995857,2.3071950565417872e-06,8.576002521283529e-10
MTCO1P12,0.012804983535218105,1.0726238511658657e-06,4.1733841888544735e-10
AC114498.2,0.0017761242594889139,1.4877904669868603e-07,5.139810059066557e-11
MTCO2P12,0.0013687041045892664,1.146510390843748e-07,4.498991138335828e-11
MTATP8P1,0.001498606101160015,1.2553242596414936e-07,8.309179064948068e-11
MTATP6P1,0.9760525217305676,8.17601375214079e-05,5.0726667962184924e-08
MTCO3P12,0.001001845853161801,8.392074494570289e-08,2.2451181547448545e-11
AL669831.1,0.09579385022640728,8.024279630290441e-06,3.2565992284282387e-09
RNU6-1199P,0.0003652653233281359,3.059686072442083e-08,2.9002589999769874e-12
AL669831.2,0.00011737089201877934,9.831704809748646e-09,1.1538593011660556e-12
LINC01409,0.4957202523205617,4.152456461053457e-05,1.9864450781946227e-08
AL669831.4,0.007503857401561231,6.285690569242111e-07,1.9766137015788386e-10
FAM87B,0.0013521751635157332,1.1326647374063773e-07,3.996076055155249e-11
LINC01128,0.14531115767690841,1.2172152594815582e-05,4.9838231383750874e-09
LINC00115,0.01909177244985852,1.5992437971065938e-06,7.54658062562245e-10
AL669831.7,0.0019479778848972347,1.6317455896274372e-07,5.326850024402167e-11
FAM41C,0.0063582740693528105,5.326079803445142e-07,1.9564504057015877e-10
AL645608.6,0.008488977658737584,7.110887635062476e-07,2.496125308422351e-10
AL645608.2,0.005095134306703337,4.2679965712040013e-07,2.218918412452374e-10
LINC02593,0.0026824285617949037,2.2469664615470798e-07,7.577973452899932e-11
SAMD11,0.01654822357872296,1.3861805644767097e-06,6.66694232114597e-10
NOC2L,0.37825163190150735,3.168467347139449e-05,1.6978475567974843e-08
KLHL17,0.20014704082227242,1.6765542035707188e-05,7.736056471051382e-09
PLEKHN1,0.003354935700664169,2.8102996319853986e-07,9.492305032536044e-11
PERM1,0.001953923494994348,1.6367259968121525e-07,7.442401411641603e-11
AL645608.7,0.015012305314260097,1.257522643178095e-06,1.248621091479858e-09
HES4,0.25345685009580643,2.1231098181923807e-05,1.01784198245587e-08
ISG15,0.08566326118004255,7.175679442121173e-06,3.610814262497564e-09
AL645608.1,0.0012371395163281948,1.0363038334127951e-07,2.0481219018586854e-11
AGRN,0.21812910695021304,1.8271830034361957e-05,8.653051865198295e-09
AL390719.1,0.00934538911114598,7.828270322621863e-07,2.791144320604784e-10
C1orf159,0.6882611734417711,5.7652971472756836e-05,2.3388195211879177e-08
AL390719.3,0.03720049101009095,3.1161409792336195e-06,1.3807751284799533e-09
LINC01342,0.0037322776857124005,3.1263843907793606e-07,9.83317801038443e-11
AL390719.2,0.0014095974693350433,1.1807651778648378e-07,4.4971700612923734e-11
TTLL10,0.0027890857897015313,2.3363090883745445e-07,8.807659216777105e-11
TNFRSF18,0.0034054344485138395,2.8526004762220135e-07,1.0509313369888675e-10
TNFRSF4,0.0031536020294673337,2.641650217345731e-07,1.0961869267230738e-10
SDF4,0.3866218176091426,3.238581149347819e-05,1.4360362476747944e-08
B3GALT6,0.03659894687583504,3.065751958103119e-06,1.6316396851081478e-09
C1QTNF12,0.03637185323310494,3.0467292036442403e-06,1.552226924175474e-09
AL162741.1,0.004887340131138765,4.093935442401378e-07,1.0771069963518763e-10
UBE2J2,0.4407173720748848,3.691718646966702e-05,1.5894390466874537e-08
LINC01786,0.07930225208203065,6.642842359024179e-06,2.284745712942344e-09
SCNN1D,0.2763571094025725,2.3149364165067223e-05,1.18448574999355e-08
ACAP3,1.748544138750712,0.00014646876685799228,1.0444862518417576e-07
PUSL1,0.054393192174527316,4.5563069337014e-06,2.1728741360752704e-09
INTS11,0.8503604308256523,7.12313981257876e-05,3.598657172014409e-08
AL139287.1,0.0033994282113986494,2.8475692841335646e-07,1.0916028564373415e-10
CPTP,0.021373367485614275,1.79036417202331e-06,6.870797007819327e-10
TAS1R3,0.004230910538452028,3.5440698093918813e-07,1.560851697031743e-10
DVL1,0.3226369954097322,2.702605088035954e-05,1.2764512521168965e-08
MXRA8,0.07233435518779377,6.059168636940339e-06,2.7918715049660068e-09
AURKAIP1,0.167903372538867,1.4064614888496148e-05,6.982934814424249e-09
NDUFB4P8,0.0012617888754175763,1.0569516463541433e-07,3.654615125570887e-11
CCNL2,3.7828710447448,0.0003168764487137544,1.7285743480678918e-07
MRPL20-AS1,0.02813472442989188,2.3567368428456928e-06,1.0442110071826148e-09
MRPL20,0.4430555579541298,3.7113047240252124e-05,1.678923833291565e-08
MRPL20-DT,0.032158123142067244,2.693761362210357e-06,9.585990429691355e-10
ANKRD65,0.02473030915378576,2.0715621673467718e-06,9.88423315286283e-10
AL391244.1,0.00026680896478121667,2.2349553089396603e-08,5.962561620581459e-12
TMEM88B,0.0007425070294808472,6.21969366293221e-08,9.569662081053397e-12
LINC01770,0.00027369746328346643,2.2926575915854117e-08,3.260343145216517e-12
VWA1,0.0385171411121156,3.2264316562335064e-06,1.447916615562629e-09
ATAD3C,0.0683039862219564,5.721560246436287e-06,2.9729232078902342e-09
ATAD3B,0.6578535221418923,5.5105840353651556e-05,2.6067735095266415e-08
AL645728.2,0.025250939878711458,2.1151733857188354e-06,9.076122373487049e-10
ATAD3A,0.39984713889792745,3.349364540944274e-05,1.5981433593646173e-08
TMEM240,0.08778354528865764,7.353287425754535e-06,4.096127039089951e-09
SSU72,0.43969288981980764,3.683136956104939e-05,1.5708370792465933e-08
AL645728.1,0.01365199506480306,1.1435747248117826e-06,4.717625345583179e-10
FNDC10,0.004866340913960161,4.076345211894925e-07,2.0513237210907182e-10
AL691432.4,0.0032855415612371344,2.752170850424807e-07,7.001029412765354e-11
AL691432.2,0.07054092124371142,5.908939625038651e-06,2.5135386361725424e-09
MIB2,0.5834338563764898,4.88719933302471e-05,2.3378285439396906e-08
MMP23B,0.031077701313014145,2.603258612247792e-06,1.1186304756426578e-09
CDK11B,0.44524977388502857,3.729684820615083e-05,1.589671746828209e-08
FO704657.1,0.026775874701966754,2.242911266708557e-06,8.559595213630424e-10
SLC35E2B,0.880003063931537,7.371444663524351e-05,3.56518835242379e-08
AL691432.1,0.06599713198287253,5.5283240059367174e-06,2.553798624074754e-09
MMP23A,0.0036974032975088836,3.0971714671711204e-07,2.565974657297736e-10
CDK11A,0.35481788358855365,2.9721719181483804e-05,1.280031649013612e-08
AL031282.2,0.08817683494142858,7.3862317759615165e-06,3.241241324148495e-09
AL031282.1,0.05199693058468512,4.355581385884162e-06,1.8393964868592452e-09
SLC35E2A,0.09605052239517775,8.045780063258313e-06,2.930641411992675e-09
NADK,0.5358639800097408,4.488724912127164e-05,1.9683935022273173e-08
GNB1,4.1383514060176,0.0003466536610837326,1.687133972104051e-07
AL109917.1,0.0009359660396344785,7.840224825217612e-08,2.790857495512087e-11
CALML6,0.006443966295761768,5.397860860916207e-07,1.9286938082502243e-10
TMEM52,0.0023246178808919216,1.9472423193934676e-07,7.756572687288976e-11
CFAP74,0.052222257647070024,4.374456160753059e-06,1.8560107284426627e-09
AL391845.2,0.0008083300355144124,6.771067477922703e-08,4.709689592481926e-11
GABRD,0.017018825917375763,1.4256010987917377e-06,5.10993572152718e-10
PRKCZ,0.19817890246639608,1.660067871221277e-05,7.851162599093173e-09
AL590822.2,0.009160393151198733,7.673306375606243e-07,3.9104027389310657e-10
PRKCZ-AS1,0.008244493595475248,6.906092809076267e-07,2.9670400394794173e-10
FAAP20,0.30675745599984594,2.5695883397541123e-05,1.2719301184363039e-08
AL590822.1,0.009298313359169537,7.788836789386444e-07,3.6276958852810366e-10
SKI,1.3239857446022012,0.00011090515535283977,5.655621508677361e-08
AL590822.3,0.0032619968966434904,2.7324483972553947e-07,5.393201813345528e-11
MORN1,0.3692949514406171,3.093440705651006e-05,1.4328535074425616e-08
AL589739.1,0.0031205672334010826,2.613978248786298e-07,7.457355669027676e-11
AL513477.1,0.00932221477902276,7.808858082612464e-07,3.0323605301900705e-10
AL513477.2,0.009809726101848545,8.217227426577772e-07,2.0040732922617893e-10
RER1,0.6012042754337785,5.036055247393018e-05,2.375942534132691e-08
PEX10,0.09675736377122177,8.104989426304387e-06,3.6343238535922038e-09
PLCH2,0.03564634905986619,2.9859565303958947e-06,1.1994093135234913e-09
AL139246.1,0.00015513517735551085,1.2995072655010123e-08,1.0214807240190702e-12
PANK4,0.11578530908964663,9.698886671942253e-06,4.365062097663163e-09
HES5,0.03039975940698714,2.5464700458189934e-06,1.9766002965176677e-09
AL139246.5,0.008821365751982297,7.389316260665352e-07,4.4575901716530167e-10
TNFRSF14-AS1,0.024096712899556377,2.0184882643287297e-06,1.151381271113193e-09
TNFRSF14,0.561610997130009,4.704397697520598e-05,2.9136686841302975e-08
AL139246.2,0.00015424957581366652,1.2920889245574344e-08,1.992874735886312e-12
AL139246.3,0.005236327528397797,4.3862686617505415e-07,1.2914371681539037e-09
PRXL2B,0.06403425258941876,5.363901205345851e-06,2.077883883456407e-09
MMEL1,0.007890067790578539,6.609204046388456e-07,3.5459780861292276e-10
TTC34,0.05173490952635329,4.3336328971647925e-06,1.7361783401576413e-09
AC242022.2,0.004553404620542087,3.8142106052455074e-07,1.5552021190533772e-10
AL589702.1,0.00015566625155666251,1.3039558682916946e-08,2.029649192032168e-12
PRDM16-DT,0.003315960506487813,2.7776516221208017e-07,1.109393225846758e-10
PRDM16,0.021592035542632004,1.808681147816385e-06,9.851201358860026e-10
AL512383.1,7.49232037161909e-05,6.2760264463219054e-09,4.701806194580225e-13
AL590438.1,0.0003051571559353067,2.556183246233093e-08,7.799722687420872e-12
AL354743.1,0.0012919896640826874,1.0822496767320216e-07,1.3981382698583228e-10
ARHGEF16,0.004572482525751219,3.8301914271663753e-07,1.87965530786692e-10
MEGF6,0.07382332017130155,6.183893463838294e-06,4.982094427060478e-09
AL513320.1,0.003841029068401773,3.2174812099193947e-07,1.4919487039819178e-10
TPRG1L,0.08899420054301571,7.454699325097647e-06,3.987849372961655e-09
WRAP73,0.21288578941307287,1.7832617642240983e-05,7.363175980134488e-09
TP73,0.010684300563360387,8.94982456304271e-07,2.4766139476244413e-10
TP73-AS3,0.0017360943619505475,1.4542589729858834e-07,4.206252956220728e-11
TP73-AS1,0.09848658459957621,8.249839554328715e-06,3.5671413457952794e-09
CCDC27,0.0009703855377483147,8.128543623289619e-08,1.3247414975176743e-11
SMIM1,0.0008887345698314713,7.444585104971279e-08,1.7191218789038235e-11
LRRC47,0.20728681105746544,1.736361292155013e-05,7.417029086359232e-09
RN7SL574P,0.0017873016500848677,1.4971533339628646e-07,3.146517428912565e-11
AL365330.1,0.0003405994550408719,2.8530696518752883e-08,9.716725685579894e-12
CEP104,0.3755790727893361,3.146080355079043e-05,1.3933657335628318e-08
DFFB,0.1689167110005359,1.4149498324722391e-05,6.4388860564426375e-09
C1orf174,0.13340167704484177,1.117454155175421e-05,5.03846312073446e-09
LINC01134,0.03173655642369262,2.658448351791977e-06,1.0498570617152809e-09
LINC01346,3.810830379939789e-05,3.1921849388002925e-09,1.2163856338698034e-13
LINC02780,0.0010592009197956786,8.87251566255385e-08,2.7858268219810533e-11
AL805961.1,0.0017398438305149607,1.4573997575096e-07,3.4657720637248113e-11
AJAP1,0.04138226622487659,3.4664320845096825e-06,1.338275598707215e-09
Z98886.1,0.0023392068546595536,1.9594629373928242e-07,4.168304383786422e-11
LINC02782,5.951318216985062e-05,4.985188655541181e-09,2.9665958850236366e-13
AL365255.1,0.004783078343826068,4.006599383335624e-07,1.6564720247390673e-10
NPHP4,0.3214208662952634,2.6924180456966276e-05,1.156413130835894e-08
KCNAB2,0.33687245696254897,2.821850033192737e-05,1.519058188222336e-08
CHD5,0.15363378620912033,1.2869306936599123e-05,9.607739946435281e-09
AL031847.1,0.005544494521733872,4.644408210532645e-07,2.0572281574939225e-10
RPL22,0.12083295175845793,1.012170813858753e-05,4.490132481697081e-09
RNF207-AS1,0.00010270103728047654,8.60286792431534e-09,8.834494500776024e-13
RNF207,0.009621777936040365,8.059790531111044e-07,3.6113154953382634e-10
ICMT,0.04988459782102055,4.178639455605676e-06,1.7955540166914242e-09
LINC00337,0.0006646112931412756,5.567191264376576e-08,2.285459229921249e-11
GPR153,0.02209916423619265,1.8511613533416527e-06,6.496852294842259e-10
ACOT7,0.32442843690707746,2.7176112992718835e-05,1.1079550790791024e-08
AL031848.2,0.0026627928969260688,2.2305184259725824e-07,2.2697377956884488e-10
HES2,0.0048235947377630005,4.0405383965178425e-07,1.2455864494653657e-10
ESPN,0.008106737676908473,6.790700014163573e-07,2.314332497041412e-10
TNFRSF25,0.2509269679260959,2.1019179755913547e-05,9.730198906036096e-09
