Gene,Sum,Mean,Variance
AL669831.3,0.21988446459322522,2.9431731306816387e-05,3.025087268059e-08
MTND1P23,0.32812070823074496,4.391924885969013e-05,3.953643507297966e-08
MTATP6P1,0.22195804701041574,2.9709282159070505e-05,2.6704714718705978e-08
AL669831.1,0.10458116411237027,1.399828190501543e-05,1.4174767817917794e-08
LINC01409,0.17901026137266843,2.3960682823272443e-05,2.4755515952070907e-08
LINC01128,0.11822721537096692,1.5824818012443704e-05,1.8832856002214086e-08
SAMD11,0.15297837169817965,2.0476291219137955e-05,2.5906792830782364e-08
NOC2L,0.15606020822075434,2.088879778085321e-05,2.1352740829470562e-08
KLHL17,0.11510298934330347,1.5406637577741062e-05,1.6044969516408515e-08
PLEKHN1,0.1585284998759741,2.1219180815951558e-05,2.5767844845830746e-08
HES4,0.14360176610141087,1.9221224213814867e-05,1.874044957295275e-08
AGRN,0.1863052626975735,2.4937125243953086e-05,2.8438010642378143e-08
C1orf159,0.5129894102606374,6.866408917957936e-05,7.839836097901088e-08
AL390719.3,0.05995647482446511,8.025227523017682e-06,7.518569791525714e-09
AL390719.2,0.07909788636178602,1.0587322495219652e-05,1.1123542792309676e-08
SDF4,0.24121913770193554,3.228739629258942e-05,3.4504776032395865e-08
UBE2J2,0.28183661647480057,3.7724081980297225e-05,3.633711270721489e-08
SCNN1D,0.06835137017901806,9.148891738591629e-06,9.261283337609393e-09
ACAP3,0.372246826236529,4.9825569031793464e-05,5.532524719221452e-08
INTS11,0.3582850293560831,4.795677009183283e-05,5.008174576423126e-08
DVL1,0.15781509130711913,2.1123690443999348e-05,2.0354507120577153e-08
MXRA8,0.05230912947685403,7.001623541273462e-06,6.8704102665818046e-09
AURKAIP1,0.08182273083820665,1.0952045353795563e-05,1.0848437337651023e-08
CCNL2,1.198349956066207,0.00016040020828084688,1.683104672005104e-07
MRPL20,0.1648501498067426,2.2065339286138748e-05,1.9405783425683153e-08
ATAD3B,0.30181245250689437,4.0397865413852816e-05,4.0398131639305324e-08
ATAD3A,0.12383286036079477,1.6575138583963962e-05,1.8249751195820165e-08
SSU72,0.22183266796384998,2.9692500062086733e-05,2.9568112201073684e-08
MIB2,0.22254678502233938,2.9788085266007146e-05,3.089143472342149e-08
CDK11B,0.3976521317273506,5.322609178521625e-05,5.5347494852836563e-08
SLC35E2B,0.35543342050361737,4.7575079708689245e-05,5.1344515470528154e-08
CDK11A,0.2445179211032478,3.272894138712994e-05,3.483752828927854e-08
SLC35E2A,0.05020113623200395,6.719466769107743e-06,5.9642665791983054e-09
NADK,0.5277462072433862,7.063929959086951e-05,6.876708140429057e-08
GNB1,2.226574968613184,0.0002980290414420003,3.1648753554015715e-07
PRKCZ,0.2313953453425036,3.097247294103916e-05,3.436282390443456e-08
FAAP20,0.16744165555387924,2.2412214637114073e-05,2.161651296513572e-08
SKI,1.1009420385811024,0.00014736207182185817,1.571344892969876e-07
MORN1,0.17095720914986057,2.288277461516003e-05,2.3569736185671856e-08
RER1,0.42077576331797184,5.6321210456160066e-05,5.725957227265248e-08
PEX10,0.05796599971205349,7.758800657482731e-06,6.947789698508474e-09
PLCH2,0.07624867812681048,1.0205953436863937e-05,1.0274485623020409e-08
PANK4,0.12659650098604117,1.694505434159298e-05,1.6736274009550435e-08
TNFRSF14-AS1,0.08990521268336013,1.2033892743054494e-05,1.2640390519705536e-08
TNFRSF14,0.8931434609312418,0.00011954804724016085,1.3127623197290324e-07
ARHGEF16,0.14661021316312828,1.96239075308698e-05,2.0509049515321327e-08
MEGF6,0.08319393180696452,1.113558182398133e-05,1.2730343208073327e-08
WRAP73,0.09872983377525439,1.3215076131074072e-05,1.39184900617862e-08
TP73-AS1,0.08243744248408696,1.1034325054756654e-05,9.868092581729624e-09
LRRC47,0.08901059616997777,1.1914147526432574e-05,1.0682437379244228e-08
CEP104,0.3685172144031642,4.9326357168138695e-05,4.899992163956544e-08
DFFB,0.11398339269579458,1.5256778569909594e-05,1.3948685764884934e-08
C1orf174,0.08200315719298906,1.0976195581982206e-05,9.391108694256625e-09
NPHP4,0.25108692690579515,3.360820866092828e-05,3.551105828371391e-08
KCNAB2,0.7661138564409499,0.00010254502160901484,1.1603533763153479e-07
RPL22,0.12041856751939609,1.6118132448051947e-05,1.56315092498339e-08
RNF207,0.1389616051662404,1.8600134542395984e-05,1.8198127834325954e-08
ACOT7,0.07978310394898304,1.0679039479183917e-05,1.2813368526257195e-08
TNFRSF25,0.10780581625602273,1.4429904464733332e-05,1.7550539171043422e-08
NOL9,0.20639473538179895,2.7626119044545437e-05,2.686158779065397e-08
ZBTB48,0.2462557062594954,3.296154547711088e-05,3.4246382884311116e-08
KLHL21,0.11526307760445431,1.542806553399201e-05,1.3693103738145985e-08
THAP3,0.06776864809912138,9.070893869511629e-06,8.60678328350899e-09
DNAJC11,0.6045761624461705,8.092305748175217e-05,8.329189450744947e-08
CAMTA1,1.0987110975628234,0.00014706345838078213,1.4640469918003162e-07
VAMP3,0.09666854036037627,1.2939170172718012e-05,1.3747115210447906e-08
PER3,0.39437657305654134,5.2787655341526076e-05,5.994783836073175e-08
PARK7,0.11873666147303029,1.5893007826667152e-05,1.4946463388185276e-08
ERRFI1,0.12809842517514497,1.714608823117989e-05,1.7383825010285557e-08
RERE,3.779075296731736,0.0005058325922542813,5.113686860854759e-07
ENO1,0.9055647965091171,0.00012121065406359486,1.2277999405270323e-07
SLC2A5,0.11196437898389441,1.4986531787430653e-05,1.4132545393135548e-08
GPR157,0.08649051641594671,1.1576832608211311e-05,1.1784023773442707e-08
MIR34AHG,0.6526495021930987,8.735771679736296e-05,8.568103134942473e-08
H6PD,0.2235406555554712,2.992111572151937e-05,2.7130681229936815e-08
SPSB1,0.12458338004789203,1.6675596312125823e-05,2.2514021777382913e-08
SLC25A33,0.1313444756282411,1.7580574973663646e-05,1.8320846118266796e-08
PIK3CD,1.1639026886731583,0.00015578941087848456,2.010517471463674e-07
