Gene,C3L-00359_1,C3L-00606_1,C3L-00606_2,C3L-00606_3,C3L-01287_1,C3L-01287_2,C3L-01953_1,C3L-02705_1,C3L-02858_1,C3L-03405_1,C3L-03968_1,C3N-00148_1,C3N-00148_2,C3N-00148_3,C3N-00148_4,C3N-00149_1,C3N-00149_2,C3N-00149_3,C3N-00439_1,C3N-00662_1,C3N-01175_1,C3N-01270_1,C3N-01798_1,C3N-01814_1,C3N-01815_1,C3N-01816_1,C3N-01904_1,C3N-02181_1,C3N-02188_1,C3N-02190_1,C3N-02769_1,C3N-02783_1,C3N-02784_1,C3N-03184_1,C3N-03186_1,C3N-03188_1
AL096701.1,4.550549647632e-08,7.614634679976717e-08,2.241821245859533e-07,2.2084256158554197e-07,6.913711980394209e-07,1.3638091230875458e-07,1.3477161035928948e-07,1.2109891042562337e-07,6.42364724412686e-08,5.166031513649171e-07,1.7806733617139397e-07,2.5908874125919765e-07,3.355818564976104e-07,3.790568664720662e-07,5.423364709353369e-07,6.42422300822936e-07,1.0865084337689275e-06,5.847927529471284e-07,2.2292807758283057e-07,1.6631326343316017e-07,4.90989339644957e-08,0.0,7.306587788266261e-07,2.7663938190669165e-07,4.519818844385334e-07,5.730415413160403e-07,1.5812520432741248e-08,7.803580636650712e-07,3.356726206695357e-07,8.935929970882276e-07,1.979144870163756e-07,1.645400707900161e-07,5.012086476457503e-07,5.948018182262556e-07,2.893519754019019e-07,1.1054296770918695e-07
SMN2,4.962796982975068e-06,8.154478262989139e-06,5.024600720671317e-06,7.521593135183544e-06,6.833955036787083e-07,5.364659283298549e-07,5.347714321007557e-06,3.9920894109588775e-06,6.43228849094542e-06,1.9295986212404185e-05,4.514261412687222e-06,1.2546047173802524e-05,1.1117120402923583e-05,1.3037864062215443e-05,1.4784117724695804e-05,4.486292142726784e-06,7.803853138282098e-06,9.241737075538742e-06,5.603364239650029e-06,1.050502254198655e-05,6.814207240357594e-07,2.216095154029917e-06,3.645343604703481e-06,7.644675276322666e-06,6.256130825751613e-06,3.5812018630717337e-06,4.706908357661367e-06,3.6813862954765415e-06,2.6381799410016525e-06,1.2091922342888e-05,7.505501489393888e-06,5.940874755762819e-06,2.96005878216274e-07,8.641333612936305e-06,9.29423085203704e-06,7.569706984265529e-06
PUF60,1.0383386914102329e-05,1.7136143756368134e-05,2.3982375903130924e-05,2.765496336628805e-05,1.7060414951099695e-05,1.7204534537314402e-05,1.3521560641097332e-05,2.568900319754077e-05,3.277716631510732e-05,4.809493280201366e-05,7.474340343291358e-05,7.686674922749904e-06,1.0328510105763954e-05,1.0513872104095936e-05,9.85489380589561e-06,1.2397238536318842e-05,1.07547747078773e-05,4.426229867374744e-06,1.293422566429168e-05,3.1378935470395405e-05,8.36068988275725e-06,1.1506575356597727e-05,1.000311978893678e-05,2.3371578120059424e-05,3.2563673702896136e-05,2.7621705732064343e-05,1.0502298753031022e-05,1.1040177505242992e-05,1.4955665392687131e-05,5.586972595740718e-05,4.5217907195731295e-05,1.533915770912009e-05,2.0142188629583583e-05,4.232508041984461e-05,2.9736448725646367e-05,2.6247548879859967e-05
OR5A1,6.018259987631726e-08,0.0,0.0,0.0,2.4315814972015657e-08,0.0,0.0,1.235488569012662e-07,0.0,1.1101718342888672e-07,1.9535473019831713e-08,0.0,0.0,2.333473855128889e-08,0.0,0.0,0.0,0.0,0.0,4.4595748808543714e-08,0.0,0.0,0.0,1.5733239030396352e-08,0.0,6.4615206237652196e-09,0.0,1.4492207833680294e-06,0.0,0.0,0.0,0.0,3.4903575382647895e-08,2.0515774784389465e-08,0.0,1.1737590115934992e-08
AL121748.1,5.8223874872804274e-08,4.6478604141754723e-07,4.917439949633631e-07,4.3960147781743915e-07,2.3525863330477738e-07,1.7828699646321426e-07,1.3576575543204145e-07,0.0,6.124715488576457e-07,0.0,0.0,5.212931972311553e-07,3.256283892937304e-07,3.126731918741295e-07,2.3795250266039938e-07,1.424009786043185e-07,2.926304705417773e-07,3.600931019555366e-07,8.914324245639412e-08,0.0,1.169288405686034e-07,0.0,1.2778140598861322e-08,1.459964630896852e-07,0.0,2.445131673152501e-08,0.0,6.780432453037373e-08,4.684649164070969e-09,0.0,0.0,1.681743836509744e-08,4.731104416532465e-08,0.0,0.0,0.0
HNRNPFP1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.993518413099796e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LINC01036,2.780203945710731e-05,5.048720775321394e-06,4.276444054692373e-06,5.144982651378844e-06,1.5171688087663454e-05,6.727891237557845e-06,6.589981716627271e-06,7.638283611341157e-05,5.145917765543923e-05,1.5419554554120214e-05,9.014060954603238e-06,7.888758000560807e-06,8.893612710501365e-06,9.698689404244228e-06,1.3474716848513778e-05,3.036754923351106e-05,2.8187679066162408e-05,7.834547498654521e-05,3.565753286915134e-05,1.717232953856188e-05,2.333720361516347e-05,1.1450717897064268e-05,7.219014235388339e-05,7.859962793045651e-06,9.968763511368146e-06,2.664847082352097e-05,2.9349378261785047e-05,1.0735182956200164e-05,2.400134777493585e-05,7.9015847449732e-06,3.272564565953786e-05,2.9939032164636225e-05,2.436243846774543e-05,1.3103339955089068e-05,1.0206575488755373e-05,4.260611752487317e-05
AF111169.3,3.663253633348514e-07,2.477316472630074e-07,2.1542774640672047e-07,2.576196299687564e-07,2.5094044898736935e-07,9.819756298921595e-08,6.83552540684631e-07,5.34154260780973e-07,5.813155577615825e-07,2.878230885520225e-06,7.761332408640223e-07,4.197948714977577e-07,6.452127152748091e-07,5.67319845099191e-07,8.719377651734011e-07,4.2779181908192564e-07,7.296920823148012e-07,3.5408309744743575e-07,8.753535372129412e-07,4.957259930245589e-07,6.651501028124335e-07,3.126904453456626e-07,1.5067484072759623e-06,4.6976951099345e-07,7.180185364241585e-07,6.770208032634686e-07,3.522689155505958e-07,5.052068191105837e-07,5.645813170442756e-07,8.282059646488154e-07,5.438330411183652e-07,5.895651336801932e-07,5.554818366554503e-07,1.2741950386134975e-06,3.639308734150227e-07,6.210952836203768e-07
KNOP1P1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.45944758804227e-08,0.0,0.0,0.0,0.0,0.0
AC011396.1,0.0,0.0,0.0,7.03547568258185e-08,0.0,0.0,0.0,0.0,0.0,1.3352507534152377e-07,3.4328550038942305e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.308898066490214e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0800311418588834e-08
