Gene,C3L-00359_1,C3L-00606_1,C3L-00606_2,C3L-00606_3,C3L-01287_1,C3L-01287_2,C3L-01953_1,C3L-02705_1,C3L-02858_1,C3L-03405_1,C3L-03968_1,C3N-00148_1,C3N-00148_2,C3N-00148_3,C3N-00148_4,C3N-00149_1,C3N-00149_2,C3N-00149_3,C3N-00439_1,C3N-00662_1,C3N-01175_1,C3N-01270_1,C3N-01798_1,C3N-01814_1,C3N-01815_1,C3N-01816_1,C3N-01904_1,C3N-02181_1,C3N-02188_1,C3N-02190_1,C3N-02769_1,C3N-02783_1,C3N-02784_1,C3N-03184_1,C3N-03186_1,C3N-03188_1
AL096701.1,0.0006642892375613,0.0006823474136727,0.0036868992209405,0.0022680531074835,0.0053415338760525,0.0012560682023636,0.0014532422745042,0.001445678792661,0.000334672021419,0.0029089923453358,0.001633233607364,0.0019685562560873,0.0024064574929443,0.0045464080564659,0.0047703915983472,0.0066201618099803,0.0102262173786331,0.0025795208332497,0.0016654956676213,0.0010502682585804,0.000562821080035,0.0,0.0095635927560617,0.003438904156482,0.0035082833870118,0.0097285262469224,0.000217817468961,0.0092129072996298,0.005075705697144,0.0074284385847944,0.0013161313386588,0.0029612276540079,0.0038643186733487,0.0097815159007307,0.0013967019852649,0.0013633264207574
SMN2,0.07244691035747,0.0730722797146456,0.0826345834521604,0.077246761498335,0.0052799136614217,0.0049408511999179,0.0576644035234244,0.047657563388027,0.0335122230378256,0.1086556983620479,0.0414048056771672,0.0953248664265515,0.079720870409365,0.156376141562212,0.1300410995064242,0.0462312405307995,0.0734498657375111,0.0407653022402013,0.0418627342344253,0.066339217352645,0.0078111257596219,0.0046493676331547,0.0477139024419638,0.095030958359967,0.048560087469484,0.0607980640293688,0.0648376626267853,0.043462446604396,0.0398919188878859,0.1005201504364279,0.0499115849044693,0.1069179229794634,0.0022822053210474,0.1421067312647375,0.0448632523227827,0.0933571962369467
PUF60,0.1515766821720657,0.1535569842008148,0.3944141541028911,0.2840164737717782,0.1318087659121962,0.1584537630886656,0.1458029883929525,0.3066753201722417,0.1707690365017091,0.2708225666081389,0.6855464962866834,0.0584033560630537,0.0740657459684333,0.1261033820165266,0.0866836459166577,0.1277535431167656,0.1012239395505411,0.01952409994499,0.0966315999379231,0.1981579774955469,0.0958385881260463,0.024140795098142,0.1309308349173935,0.2905320876104587,0.2527592352818798,0.4689336982132564,0.1446691653230023,0.1303403356268987,0.2261446164028221,0.4644450318839259,0.3006990828516131,0.2760588212910342,0.1552962743340894,0.6960359475043445,0.143537837998695,0.3237110203353129
OR5A1,0.0008785455929944,0.0,0.0,0.0,0.0001878639864737,0.0,0.0,0.0014749262536873,0.0,0.000625137759888,0.0001791793585378,0.0,0.0,0.0002798768541841,0.0,0.0,0.0,0.0,0.0,0.0002816221537259,0.0,0.0,0.0,0.0001955798943868,0.0,0.0001096972356296,0.0,0.0171095005684429,0.0,0.0,0.0,0.0,0.0002691065662002,0.0003373819163292,0.0,0.0001447596988998
AL121748.1,0.0008499521253931,0.0041649477171426,0.0080872217411674,0.004514707177185,0.0018176082009127,0.0016420232374262,0.0014639621408237,0.0,0.0031909767695483,0.0,0.0,0.0039607857125623,0.0023350811796253,0.0037502022633383,0.0020930302134008,0.0014674420845175,0.0027542379887392,0.0015883706727258,0.0006659891643917,0.0,0.0013403552994379,0.0,0.0001672530822984,0.0018148820326678,0.0,0.0004151100041511,0.0,0.0008004978554055,7.083658000991713e-05,0.0,0.0,0.0003026634382566,0.0003647681505146,0.0,0.0,0.0
HNRNPFP1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003875968992248,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LINC01036,0.4058541719948525,0.045241586867655,0.0703303989234707,0.0528389718296607,0.1172164621652878,0.0619638782979077,0.0710597728503918,0.9118582975219072,0.2681023155848384,0.0868275116942509,0.0826769670756208,0.059938783288261,0.0637760967470053,0.1163260807145052,0.1185236093995271,0.3129375948513315,0.2653024353707205,0.3455818901656509,0.2663974280654296,0.1084432610360182,0.2675143650406189,0.0240236061480408,0.9448967732699796,0.0977071974803504,0.0773775423752395,0.4524110891709156,0.404287685556089,0.1267395699808991,0.3629243797048049,0.0656858739849622,0.2176255436359267,0.5388127618669581,0.1878344005863172,0.2154844255614397,0.0492671398842221,0.5254612474342608
AF111169.3,0.0053476176539621,0.0022199232911238,0.0035429247174049,0.0026457535997791,0.0019387659088764,0.0009043995551306,0.0073707470462023,0.0063767335652032,0.0030286540559378,0.0162073181163643,0.0071186940852048,0.0031896014336399,0.0046268203812356,0.0068044342221196,0.0076695645824652,0.0044083946956392,0.0068678618787469,0.0015618605428406,0.0065397662765178,0.00313050964595,0.0076246156285389,0.0006560245543352,0.019721829902835,0.0058397047911595,0.0055732598797243,0.0114937821770039,0.0048525043117094,0.0059644717064195,0.0085370340950264,0.0068848761841256,0.0036164897234371,0.0106104037108424,0.0042827649606135,0.0209541374099989,0.0017566943259743,0.0076599681328901
KNOP1P1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004295532646048,0.0,0.0,0.0,0.0,0.0
AC011396.1,0.0,0.0,0.0,0.0007225433526011,0.0,0.0,0.0,0.0,0.0,0.0007518796992481,0.0003148614609571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000222211624748,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003798602407254
