Gene,C3L-00359_1,C3L-00606_1,C3L-00606_2,C3L-00606_3,C3L-01287_1,C3L-01287_2,C3L-01953_1,C3L-02705_1,C3L-02858_1,C3L-03405_1,C3L-03968_1,C3N-00148_1,C3N-00148_2,C3N-00148_3,C3N-00148_4,C3N-00149_1,C3N-00149_2,C3N-00149_3,C3N-00439_1,C3N-00662_1,C3N-01175_1,C3N-01270_1,C3N-01798_1,C3N-01814_1,C3N-01815_1,C3N-01816_1,C3N-01904_1,C3N-02181_1,C3N-02188_1,C3N-02190_1,C3N-02769_1,C3N-02783_1,C3N-02784_1,C3N-03184_1,C3N-03186_1,C3N-03188_1
AL096701.1,2.140442664132553e-11,2.7790526789458102e-11,1.7288615149398228e-10,7.963117905636741e-11,4.6033217090375877e-10,9.297409340984285e-11,8.161824287277174e-11,3.086085595011067e-11,2.149402375635415e-11,5.528495678817629e-10,1.0353264414281431e-10,8.731360675715125e-11,1.7067896539279668e-10,3.5248973035169034e-10,5.483935186579e-10,3.6406200731771657e-10,9.245621562639547e-10,1.416421726044946e-10,8.161585083350663e-11,3.2401808473512035e-11,1.5075837807422307e-11,0.0,1.6723675799647767e-10,5.354886725713849e-11,1.910509955524816e-10,2.1125520746980357e-10,3.443993142751528e-12,2.8243804847075026e-10,1.568617417499942e-10,1.2859015439528934e-09,6.124611905415617e-11,4.710120282337431e-11,1.1309649834155518e-10,3.9294786904431646e-10,2.5955609456610195e-10,1.84569909006788e-11
SMN2,2.417949104528518e-09,4.2580436404459885e-09,4.0494752850703715e-09,5.917110798019251e-09,3.5642283886193853e-10,2.4232114303544504e-10,4.117795853852416e-09,1.2584846136127711e-09,5.941933636290994e-09,1.4338153709724584e-08,3.1681514412264556e-09,4.786053260783259e-09,4.21375641460657e-09,7.821141626000627e-09,7.4119865635579645e-09,2.4836296077556433e-09,6.9296690636437795e-09,4.8813709140693884e-09,4.704518760103238e-09,3.3416694007826356e-09,3.013453342080241e-10,1.0532843157767104e-09,7.744320291913911e-10,2.0825178371841315e-09,1.959603258238094e-09,7.949243697569477e-10,2.846225869950408e-09,1.3469133593565432e-09,8.130760950476085e-10,1.1799152321624588e-08,6.148949667147592e-09,1.999748893418402e-09,6.436292921196488e-11,6.0908525140591685e-09,7.620052853068998e-09,1.4928262613006683e-09
PUF60,6.232187893983394e-09,1.0550718194594232e-08,1.8718124327144968e-08,1.9568249943623552e-08,1.0458702259423486e-08,1.0696282730040428e-08,1.0450009218013372e-08,1.3695716734271262e-08,3.0136489722666765e-08,4.734149866668073e-08,6.112746531147321e-08,4.033678114137631e-09,6.499354118200843e-09,7.425021648010377e-09,5.334012922934916e-09,7.718703108546227e-09,9.925714015907048e-09,2.70656897651666e-09,1.2779988553490305e-08,1.4741860960477502e-08,6.22662484412277e-09,5.911985001021279e-09,2.728002333363468e-09,7.908568227644175e-09,1.0538436392475517e-08,8.319419780893512e-09,9.196247436123615e-09,4.4821828516952095e-09,6.434179680295299e-09,5.865867505456221e-08,4.154821368830414e-08,6.0360155672575115e-09,1.1130081503633544e-08,3.22866413557321e-08,2.5830850273204965e-08,6.852246533479674e-09
OR5A1,2.6788235896218723e-11,0.0,0.0,0.0,4.567474676144244e-12,0.0,0.0,1.8221018833669318e-10,0.0,2.839985286152056e-11,3.4999718897217202e-12,0.0,0.0,6.530308708921294e-12,0.0,0.0,0.0,0.0,0.0,6.39327140178197e-12,0.0,0.0,0.0,3.076857693117708e-12,0.0,7.087691991423229e-13,0.0,2.9000513716788886e-10,0.0,0.0,0.0,0.0,9.391563059760248e-12,6.921230514722329e-12,0.0,1.6989922399705957e-12
AL121748.1,3.4372806840851844e-11,3.9697022479916824e-10,2.755432894005469e-10,3.4548973885710755e-10,5.0893943869885194e-11,6.06847377241533e-11,8.565512170466534e-11,0.0,2.554028735111579e-10,0.0,0.0,1.6854224022583959e-10,8.399963275843747e-11,1.3356298101305168e-10,6.739638274671822e-11,4.101139874349279e-11,2.0890776571717614e-10,1.1095983190552255e-10,2.972510058210855e-11,0.0,8.991512340468535e-11,0.0,7.38596220008541e-13,2.649450427272936e-10,0.0,1.0149388323033296e-11,0.0,2.7858780018507783e-11,3.3182257939131423e-13,0.0,0.0,5.089740892016667e-12,7.395606205153726e-12,0.0,0.0,0.0
HNRNPFP1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.935222900878036e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LINC01036,1.8040858952217833e-08,3.127177802694325e-09,3.639867482709289e-09,4.313416529611011e-09,1.4199156726270775e-08,5.2550272098856886e-09,5.385696254599657e-09,9.39291346751349e-08,6.128716250329476e-08,1.2591711630085456e-08,8.264817562434868e-09,5.691861890597194e-09,8.427831316737148e-09,1.063659492062179e-08,1.2507947409094561e-08,3.2984640037064486e-08,3.06701949046672e-08,7.54826040547393e-08,4.140816741905853e-08,9.2004661779359e-09,2.9352595561618523e-08,9.916605831402567e-09,4.6840805982085816e-08,3.135480164038578e-09,6.674206207015626e-09,1.3983719455309286e-08,2.5630215084725646e-08,8.467145398144562e-09,1.6045093528210605e-08,1.0652818512697852e-08,3.0279896119737514e-08,2.2628895180410163e-08,2.2027250797600428e-08,1.0507406639483614e-08,1.1395557816620698e-08,1.9041785361035638e-08
AF111169.3,3.4492824355381326e-10,1.0565588538033454e-10,1.8195893173355622e-10,1.8139932555896115e-10,5.855080622040112e-11,2.369728852979573e-11,5.586380685385248e-10,2.0387374842574602e-10,5.389893526216726e-10,2.973644784060971e-09,5.291884224302383e-10,1.5081141462974612e-10,3.3800187323730546e-10,2.807880112163403e-10,4.790867828773474e-10,1.9941588749958124e-10,6.16463629432648e-10,1.962934773448673e-10,8.303406540078501e-10,1.3076056067079267e-10,3.529479964050481e-10,1.1384485359331142e-10,3.3837173223827127e-10,6.93432799592418e-11,2.0083294156252912e-10,1.7208692217713994e-10,2.4552331228246124e-10,1.5523641621698568e-10,1.245058647268318e-10,6.584812412299076e-10,4.0169837378813405e-10,1.9044380175673078e-10,1.0788371045361251e-10,8.160006619033901e-10,4.637551383840121e-10,8.787413388891448e-11
KNOP1P1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7742595543558024e-11,0.0,0.0,0.0,0.0,0.0
AC011396.1,0.0,0.0,0.0,5.082941207655798e-11,0.0,0.0,0.0,0.0,0.0,1.0037696454412252e-10,1.0807558968455216e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.067833432350627e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.156870302145107e-12
